Entity Name,Field Name,Type,Required,Description,Foreign Key
Transaction,contractValue,number,YES,Total monetary value of the transaction,NO
Transaction,contractCurrency,enum,YES,Currency code (USD EUR GBP CAD JPY AUD CHF SEK NOK),NO
Transaction,contractTerms,enum,NO,Incoterms delivery conditions (FOB CIF DDP EXW FCA CPT DAP FAS),NO
Transaction,paymentTerms,string,NO,Payment conditions and timeline,NO
Transaction,transactionStatus,enum,YES,Current status (pending confirmed delivered completed cancelled disputed),NO
Transaction,contractSignedDate,date,NO,Date when contract was executed,NO
Transaction,expectedDeliveryDate,date,NO,Expected completion/delivery date,NO
Transaction,complianceRequirements,array,NO,Regulatory requirements (FSC_Chain_of_Custody LCFS_Reporting EU_RED_Compliance),NO
Transaction,financialTerms,object,NO,Detailed financial terms (down payment retention late fees discounts),NO
Transaction,riskManagement,object,NO,Risk terms (force majeure quality guarantees insurance dispute resolution),NO
Transaction,fuelVolume,number,NO,Volume of fuel in transaction for LCFS reporting,NO
Transaction,fuelVolumeUnit,enum,NO,Unit (gallons liters GGE),NO
Transaction,fuelCategory,enum,NO,Fuel type (renewable_diesel ethanol biodiesel sustainable_aviation_fuel),NO
Transaction,reportingPeriod,string,NO,LCFS reporting quarter (YYYY-QN format),NO
Transaction,regulatedPartyRole,enum,NO,LCFS role (producer importer blender distributor not_applicable),NO
Transaction,biomassVolume,number,NO,Volume of biomass fuel for BioRAM reporting,NO
Transaction,biomassVolumeUnit,enum,NO,Unit (bone_dry_tonnes green_tonnes cubic_yards),NO
Transaction,fuelType,enum,NO,BioRAM fuel type (lumber_mill_residual forest_harvest_residual agricultural_residue),NO
Transaction,fuelOriginCoordinates,object,NO,Geographic coordinates of biomass fuel origin,NO
Transaction,fuelOriginFacilityId,string,NO,Identifier for source facility or harvest site,NO
Transaction,withinSRA,boolean,NO,Whether fuel source is within California SRA,NO
Transaction,fireHazardSeverityZone,enum,NO,CAL FIRE designation (Very High High Moderate Low),NO
Transaction,fhszVerificationSource,string,NO,Source of fire hazard zone verification,NO
Transaction,bioramEligible,boolean,NO,Whether transaction meets BioRAM eligibility,NO
Transaction,haulDistance,number,NO,Transportation distance from source to facility in miles,NO
Transaction,haulUnit,enum,NO,Unit (miles kilometers),NO
Transaction,landowner,string,NO,Legal landowner of biomass source location,NO
Transaction,parcelId,string,NO,Assessor parcel number or legal land description,NO
Transaction,calFirePermitNumber,string,NO,CAL FIRE permit number for harvest activities,NO
Transaction,permitStatus,enum,NO,Permit status (active expired pending not_required),NO
Transaction,timberHarvestPlan,string,NO,Timber harvest plan identifier if applicable,NO
Transaction,bioramCertificationId,string,NO,BioRAM compliance certification identifier,NO
Transaction,attestationSignatory,string,NO,Name and title of person attesting to BioRAM compliance,NO
Transaction,attestationDate,date,NO,Date of BioRAM compliance attestation,NO
Transaction,materialEligibilityConfirmed,boolean,NO,Confirmation of BioRAM eligibility criteria,NO
Transaction,reportingAccuracyConfirmed,boolean,NO,Confirmation of reporting data accuracy,NO
Transaction,reconciliationStatus,enum,NO,Reconciliation status (pending resolved disputed investigating),NO
Transaction,manipulationTimestamps,array,NO,Processing step timestamps,NO
Transaction,mediaBreaksDetected,array,NO,Continuity flags per TRU,NO
Transaction,speciesCompositionAtTransaction,array,NO,Species breakdown at transaction time,NO
Transaction,lastUpdated,date-time,NO,Timestamp of last modification,NO
Transaction,OrganizationId,string,YES,Primary organization (seller/supplier),YES (Organization)
Transaction,CustomerId,string,YES,Customer organization (buyer),YES (Customer)
Transaction,SalesDeliveryDocumentId,string,NO,Sales/delivery documentation reference,YES (SalesDeliveryDocument)
Transaction,GeographicDataId,string,NO,Primary transaction location,YES (GeographicData)
Transaction,BrokerOrganizationId,string,NO,Optional intermediary broker organization,YES (Organization)
Transaction,LcfsPathwayId,string,NO,CARB-certified pathway for LCFS compliance,YES (LcfsPathway)
Transaction,BioramPathwayId,string,NO,BioRAM pathway for biomass power generation,YES (BioramPathway)
Transaction,traceableUnitIds,array,NO,TRUs included in this transaction,YES (TraceableUnit)
Transaction,trackingPointIds,array,NO,Location trail references,YES (TrackingPoint)
,,,,,
TransactionBatch,transactionBatchId,string,YES,Unique identifier for transaction batch,NO
TransactionBatch,batchDate,date,YES,Date batch was created,NO
TransactionBatch,batchName,string,NO,Name or description of batch,NO
TransactionBatch,batchStatus,enum,NO,Status (open closed reconciled),NO
TransactionBatch,notes,string,NO,Batch notes,NO
TransactionBatch,transactionIds,array,YES,Array of transactions in this batch,YES (Transaction)
,,,,,
SalesDeliveryDocument,documentId,string,YES,Unique identifier for document,NO
SalesDeliveryDocument,documentType,enum,YES,Type (sales_invoice delivery_receipt bill_of_lading packing_slip),NO
SalesDeliveryDocument,documentDate,date,YES,Date of document,NO
SalesDeliveryDocument,documentNumber,string,NO,Document number or reference,NO
SalesDeliveryDocument,documentUrl,uri,NO,URL or path to document file,NO
SalesDeliveryDocument,notes,string,NO,Additional document notes,NO
SalesDeliveryDocument,transactionId,string,NO,Reference to associated transaction,YES (Transaction)
,,,,,
ProductGroup,productGroupId,string,YES,Unique identifier for product group,NO
ProductGroup,productGroupName,string,YES,Name of the product group,NO
ProductGroup,groupType,enum,NO,Type (shipment order batch inventory_lot),NO
ProductGroup,creationDate,date,NO,When group was created,NO
ProductGroup,description,string,NO,Description of product group,NO
ProductGroup,traceableUnitIds,array,YES,Array of TRUs in this product group,YES (TraceableUnit)
,,,,,
,,,,,
=== CERTIFICATION & COMPLIANCE ENTITIES ===,,,,,
,,,,,
Certificate,certificateNumber,string,YES,Unique certificate identifier,NO
Certificate,certificateType,enum,YES,Type (FSC PEFC SFI SBP ISO ISCC),NO
Certificate,issueDate,date,YES,Date certificate was issued,NO
Certificate,expiryDate,date,YES,Date certificate expires,NO
Certificate,certificateStatus,enum,YES,Status (active suspended expired),NO
Certificate,scope,string,NO,Scope of certification,NO
Certificate,accreditationBody,string,NO,Organization that accredited the certifier,NO
Certificate,certificateUrl,uri,NO,URL to certificate document,NO
Certificate,certificationSchemeId,string,YES,Reference to certification scheme,YES (CertificationScheme)
Certificate,organizationId,string,YES,Organization holding the certificate,YES (Organization)
,,,,,
CertificationScheme,certificationSchemeId,string,YES,Unique identifier for certification scheme,NO
CertificationScheme,schemeName,string,YES,Name of the certification scheme,NO
CertificationScheme,schemeType,enum,YES,Type (forest_management chain_of_custody sustainability),NO
CertificationScheme,schemeVersion,string,NO,Version of the scheme,NO
CertificationScheme,requirements,object,NO,Detailed scheme requirements,NO
CertificationScheme,standardUrl,uri,NO,URL to scheme standards,NO
CertificationScheme,description,string,NO,Description of the scheme,NO
,,,,,
CertificationBody,cbId,string,YES,Unique identifier for certification body,NO
CertificationBody,certificationBodyName,string,YES,Name of the certification body,NO
CertificationBody,accreditationAuthority,string,YES,Organization that accredits this body,NO
CertificationBody,authorizedSchemes,array,YES,Certification schemes this body is authorized for,NO
CertificationBody,contactEmail,email,NO,Contact email for certification body,NO
CertificationBody,website,uri,NO,Certification body website,NO
CertificationBody,accreditationStatus,enum,NO,Status (active suspended expired),NO
,,,,,
Audit,auditId,string,YES,Unique identifier for audit,NO
Audit,auditType,enum,YES,Type (Initial Surveillance Transfer Special),NO
Audit,auditDate,date,YES,Date audit was conducted,NO
Audit,auditStatus,enum,NO,Status (scheduled in_progress completed),NO
Audit,findings,string,NO,Audit findings and observations,NO
Audit,nonConformities,array,NO,List of non-conformities found,NO
Audit,correctiveActions,string,NO,Required corrective actions,NO
Audit,auditReport,uri,NO,URL to audit report,NO
Audit,organizationId,string,YES,Organization being audited,YES (Organization)
Audit,cbId,string,YES,Certification body performing audit,YES (CertificationBody)
Audit,auditGeographicDataId,string,NO,Location where audit was conducted,YES (GeographicData)
,,,,,
Claim,claimId,string,YES,Unique identifier for claim,NO
Claim,claimType,enum,YES,Type (sustainability chain_of_custody carbon_neutrality renewable_content),NO
Claim,claimStatement,string,YES,The claim being made,NO
Claim,claimStatus,enum,YES,Status (verified pending rejected),NO
Claim,verificationDate,date,NO,Date claim was verified,NO
Claim,notes,string,NO,Additional claim details,NO
Claim,traceableUnitId,string,NO,Reference to traceable unit for the claim,YES (TraceableUnit)
Claim,certificateNumber,string,NO,Supporting certificate reference,YES (Certificate)
,,,,,
VerificationStatement,statementId,string,YES,Unique identifier for verification statement,NO
VerificationStatement,verificationBody,string,YES,Organization that performed verification,NO
VerificationStatement,statementDate,date,YES,Date of verification statement,NO
VerificationStatement,statementType,enum,NO,Type (third_party self_assessment independent_audit),NO
VerificationStatement,statementUrl,uri,NO,URL to verification statement document,NO
VerificationStatement,findings,string,NO,Verification findings,NO
VerificationStatement,certificateNumber,string,NO,Related certificate reference,YES (Certificate)
,,,,,
,,,,,
=== SUPPLY BASE MANAGEMENT ENTITIES ===,,,,,
,,,,,
SupplyBase,supplyBaseId,string,YES,Unique identifier for supply base,NO
SupplyBase,supplyBaseName,string,YES,Name of the supply base,NO
SupplyBase,description,string,NO,Description of supply base area and characteristics,NO
SupplyBase,totalAreaHa,number,NO,Total area in hectares,NO
SupplyBase,establishedDate,date,NO,Date supply base was established,NO
SupplyBase,status,enum,NO,Status (active inactive under_review),NO
SupplyBase,geographicDataId,string,YES,Geographic boundary of supply base,YES (GeographicData)
SupplyBase,organizationId,string,YES,Organization managing the supply base,YES (Organization)
SupplyBase,certificationSchemeId,string,NO,Applicable certification scheme,YES (CertificationScheme)
,,,,,
SupplyBaseReport,sbrId,string,YES,Unique identifier for supply base report,NO
SupplyBaseReport,reportingPeriod,string,YES,Reporting period (e.g. 2024-Q1),NO
SupplyBaseReport,reportDate,date,YES,Date report was generated,NO
SupplyBaseReport,totalVolume,number,NO,Total volume harvested in period,NO
SupplyBaseReport,riskAssessment,object,NO,Risk assessment results,NO
SupplyBaseReport,complianceStatus,enum,NO,Compliance status (compliant non_compliant pending),NO
SupplyBaseReport,reportUrl,uri,NO,URL to full report document,NO
SupplyBaseReport,supplyBaseId,string,YES,Reference to supply base,YES (SupplyBase)
,,,,,
MassBalanceAccount,accountId,string,YES,Unique identifier for mass balance account,NO
MassBalanceAccount,accountType,enum,YES,Type (input output inventory credit),NO
MassBalanceAccount,balance,number,YES,Current balance value,NO
MassBalanceAccount,unit,string,YES,Unit of measurement (m3 tonnes kg),NO
MassBalanceAccount,lastUpdated,date-time,NO,When balance was last updated,NO
MassBalanceAccount,notes,string,NO,Account notes,NO
MassBalanceAccount,organizationId,string,YES,Organization that owns this account,YES (Organization)
,,,,,
DataReconciliation,reconciliationId,string,YES,Unique identifier for reconciliation,NO
DataReconciliation,discrepancyType,enum,YES,Type (volume_mismatch timing_gap documentation_missing quality_difference),NO
DataReconciliation,volumeDifference,number,NO,Difference in volume if applicable,NO
DataReconciliation,reconciliationStatus,enum,YES,Status (pending resolved escalated),NO
DataReconciliation,resolutionNotes,string,NO,How discrepancy was resolved,NO
DataReconciliation,detectedDate,date-time,NO,When discrepancy was detected,NO
DataReconciliation,resolvedDate,date-time,NO,When discrepancy was resolved,NO
DataReconciliation,traceableUnitId,string,NO,Related traceable unit,YES (TraceableUnit)
DataReconciliation,sourceTrackingPointId,string,NO,Source tracking point in discrepancy,YES (TrackingPoint)
DataReconciliation,destinationTrackingPointId,string,NO,Destination tracking point in discrepancy,YES (TrackingPoint)
,,,,,
,,,,,
=== LCFS REGULATORY COMPLIANCE ENTITIES ===,,,,,
,,,,,
LcfsPathway,pathwayId,string,YES,CARB-certified pathway identifier (CA-XX-YYYY-XXX-NNN format),NO
LcfsPathway,pathwayType,enum,YES,Type (Lookup_Table Tier_1 Tier_2),NO
LcfsPathway,feedstockCategory,enum,YES,Feedstock (logging_and_mill_residue corn used_cooking_oil algae),NO
LcfsPathway,fuelProduct,enum,YES,Fuel type (renewable_diesel ethanol biodiesel sustainable_aviation_fuel),NO
LcfsPathway,carbonIntensity,number,YES,Carbon intensity in gCO2e/MJ,NO
LcfsPathway,energyEconomyRatio,number,NO,Energy economy ratio for LCFS credits,NO
LcfsPathway,certificationDate,date,YES,Date pathway was certified by CARB,NO
LcfsPathway,expirationDate,date,NO,Date pathway certification expires,NO
LcfsPathway,verificationStatus,enum,YES,Status (active suspended expired),NO
LcfsPathway,caGreetVersion,string,NO,Version of CA-GREET model used,NO
LcfsPathway,facilityLocation,string,NO,Location of production facility,NO
LcfsPathway,productionProcessDescription,string,NO,Description of production process,NO
LcfsPathway,notes,string,NO,Additional pathway notes,NO
,,,,,
LcfsReporting,reportingId,string,YES,Unique identifier for LCFS report (LCFS-RPT-YYYY-QN-XXX format),NO
LcfsReporting,reportingPeriod,string,YES,Reporting quarter (YYYY-QN format),NO
LcfsReporting,reportDate,date,YES,Date report was generated,NO
LcfsReporting,totalFuelVolume,number,YES,Total fuel volume in reporting period,NO
LcfsReporting,totalCreditsGenerated,number,NO,Total LCFS credits generated,NO
LcfsReporting,pathwaySummary,array,NO,Breakdown by pathway,NO
LcfsReporting,verificationRequired,boolean,YES,Whether third-party verification is required,NO
LcfsReporting,verificationStatus,enum,NO,Verification status (pending verified rejected),NO
LcfsReporting,submissionDate,date-time,NO,When report was submitted to CARB,NO
LcfsReporting,reportUrl,uri,NO,URL to report document,NO
LcfsReporting,notes,string,NO,Additional reporting notes,NO
LcfsReporting,regulatedEntityId,string,YES,Regulated entity submitting report,YES (Organization)
LcfsReporting,transactionIds,array,NO,Transactions included in this report,YES (Transaction)
,,,,,
,,,,,
=== BIORAM COMPLIANCE ENTITIES ===,,,,,
,,,,,
BioramPathway,pathwayId,string,YES,BioRAM pathway identifier (BIORAM-PWR-YYYY-XX-NNN format),NO
BioramPathway,fuelType,enum,YES,Fuel type (lumber_mill_residual forest_harvest_residual agricultural_residue),NO
BioramPathway,targetFacilityType,enum,YES,Facility type (biomass_power_plant biogas_facility combined_heat_power),NO
BioramPathway,efficiencyStandard,number,YES,Required efficiency standard percentage,NO
BioramPathway,carbonIntensity,number,NO,Carbon intensity in gCO2e/MJ,NO
BioramPathway,geographicScope,enum,YES,Geographic scope (California_SRA California_Statewide Western_States),NO
BioramPathway,certificationDate,date,YES,Date pathway was certified,NO
BioramPathway,expirationDate,date,NO,Date pathway certification expires,NO
BioramPathway,eligibilityStatus,enum,YES,Status (active suspended expired pending_approval),NO
BioramPathway,sourcingRequirements,string,NO,Requirements for fuel sourcing,NO
BioramPathway,verificationProtocol,string,NO,Verification protocol reference,NO
BioramPathway,notes,string,NO,Additional pathway notes,NO
,,,,,
BioramReporting,reportingId,string,YES,Unique identifier for BioRAM report (BIORAM-RPT-YYYY-QN-XXX format),NO
BioramReporting,reportingPeriod,string,YES,Reporting quarter (YYYY-QN format),NO
BioramReporting,reportDate,date,YES,Date report was generated,NO
BioramReporting,totalBiomassVolume,number,YES,Total biomass volume in bone dry tonnes,NO
BioramReporting,totalEnergyGenerated,number,YES,Total energy generated in MWh,NO
BioramReporting,overallEfficiency,number,NO,Overall facility efficiency percentage,NO
BioramReporting,fuelSourceBreakdown,array,NO,Breakdown by fuel source type,NO
BioramReporting,complianceStatus,enum,NO,Compliance status (compliant non_compliant under_review),NO
BioramReporting,submissionDate,date-time,NO,When report was submitted to CEC,NO
BioramReporting,reportUrl,uri,NO,URL to report document,NO
BioramReporting,notes,string,NO,Additional reporting notes,NO
BioramReporting,facilityEntityId,string,YES,Facility submitting the report,YES (Organization)
,,,,,