Category,BOOST Entity,BOOST Field,GREET Model Input Category,GREET Parameter/Input,Mapping Type,Notes,Data Flow Direction,Required for LCFS Pathway,Example BOOST Value,Example GREET Usage
LCFS Pathway Core,LCFSPathway,pathwayId,Pathway Identification,CARB Pathway ID,Direct Match,Official CARB-assigned pathway identifier,BOOST stores GREET output,Yes,CA-RD-2025-LMR-001,Pathway certification reference
LCFS Pathway Core,LCFSPathway,carbonIntensity,Carbon Intensity Results,Final CI Value (gCO2e/MJ),Output from GREET,This is the OUTPUT of GREET modeling - not an input,GREET → BOOST,Yes,19.85,Final certified CI for credit calculations
LCFS Pathway Core,LCFSPathway,caGreetVersion,Model Metadata,CA-GREET Version,Direct Match,Tracks which GREET version was used,GREET → BOOST,Yes,3.0,Model version for reproducibility
LCFS Pathway Core,LCFSPathway,feedstockCategory,Feedstock Inputs,Biomass Feedstock Type,Direct Match,Maps to GREET feedstock categories,BOOST → GREET,Yes,logging_and_mill_residue,Feedstock classification in GREET model
LCFS Pathway Core,LCFSPathway,fuelProduct,Fuel Production,Final Fuel Product,Direct Match,Output fuel type from production process,GREET output,Yes,renewable_diesel,Product classification in GREET
LCFS Pathway Core,LCFSPathway,energyEconomyRatio,Credit Calculation,EER Multiplier,Direct Match,Used in LCFS credit calculations,GREET output,Yes,1.0,Energy economy ratio for EVs/advanced fuels
LCFS Pathway Core,LCFSPathway,facilityLocation,Production Facility,Facility Geographic Location,Partial Match,Used for transport distance calculations,BOOST → GREET,Yes,"Stockton, CA",Regional energy grid and transport modeling
LCFS Pathway Core,LCFSPathway,pathwayType,Pathway Classification,Tier Classification,Direct Match,Lookup Table / Tier 1 / Tier 2,CARB administrative,Yes,Tier_1,Determines calculation methodology
LCFS Pathway Core,LCFSPathway,certificationDate,Pathway Metadata,Certification Date,Metadata,Regulatory compliance tracking,CARB administrative,Yes,2025-01-15,Pathway validity period
LCFS Pathway Core,LCFSPathway,verificationStatus,Pathway Metadata,Active/Suspended Status,Metadata,Current regulatory status,CARB administrative,Yes,active,Pathway eligibility check
LCFS Reporting,LCFSReporting,reportingPeriod,Reporting Metadata,Quarterly Period,Metadata,Aggregation timeframe,CARB administrative,Yes,2025-Q1,Quarterly reporting requirement
LCFS Reporting,LCFSReporting,totalFuelVolume,Volume Aggregation,Total Fuel Volume (gallons),Aggregated Transaction Data,Sum of all transactions in period,Calculated from transactions,Yes,5075000.0,Total volume for credit calculation
LCFS Reporting,LCFSReporting,totalCreditsGenerated,Credit Calculation Results,LCFS Credits Generated,Calculated Output,Result of (Benchmark CI - Pathway CI) × Volume × EER,Calculated from pathway + transactions,Yes,54580477.10,Total credits for compliance
LCFS Reporting,LCFSReporting,pathwaySummary,Pathway Breakdown,Activity by Pathway,Aggregated Data,Groups transactions by pathway for reporting,Aggregated from transactions,Yes,Array of pathway summaries,Breakdown by feedstock type
LCFS Reporting,LCFSReporting,calculationParameters,Credit Calculation Inputs,Conversion Factors & Benchmarks,Metadata,Energy conversion (MJ/gallon) and regulatory benchmarks,GREET/CARB standards,Yes,"conversionFactor: 138.7, benchmark: 98.47",Used in credit calculations
LCFS Reporting,LCFSReporting,regulatedEntityId,Entity Identification,Reporting Organization,Metadata,Organization submitting the report,BOOST Organization entity,Yes,pacific-renewable-fuels-001,Entity registration in AFP
Energy & Carbon,EnergyCarbonData,carbonIntensity (dataType),Carbon Intensity,CI Value (gCO2e/MJ),Direct Match,Can store intermediate or final CI values,GREET output or calculation,Conditional,Various numeric values,Lifecycle stage-specific CI
Energy & Carbon,EnergyCarbonData,lifeCycleStage,Lifecycle Analysis,LCA Stage Classification,Direct Match,"feedstock, production, transport, etc.",GREET LCA stages,Conditional,feedstock,GREET lifecycle stage mapping
Energy & Carbon,EnergyCarbonData,energyContent (dataType),Energy Content,Energy Density (MJ/kg or MJ/gallon),Direct Match,Fuel or feedstock energy content,GREET energy parameters,Conditional,Various values,Energy content for conversions
Energy & Carbon,EnergyCarbonData,caGreetVersion,Model Version,CA-GREET Version Used,Direct Match,Tracks GREET version for calculation,Version control,Conditional,3.0,Ensures calculation consistency
Energy & Carbon,EnergyCarbonData,lcfsPathwayType,Pathway Classification,LCFS Tier Type,Direct Match,Lookup Table / Tier 1 / Tier 2,Pathway classification,Conditional,Tier_1,Determines data requirements
Energy & Carbon,EnergyCarbonData,energyEconomyRatio,EER Value,Energy Economy Ratio,Direct Match,EER for credit calculations,GREET output,Conditional,1.0,Credit calculation multiplier
Feedstock Data,Material,materialCategory,Feedstock Properties,Wood Type (softwood/hardwood),Partial Match,Material classification affects energy content,BOOST → GREET,Yes,softwood,Biomass properties in GREET
Feedstock Data,Material,energyContent,Feedstock Energy,Energy Content (MJ/kg),Potential Input,Default energy content for material type,BOOST → GREET,Conditional,Various values,Energy density for fuel calculations
Feedstock Data,Material,density,Feedstock Properties,Material Density,Potential Input,Affects volume-to-mass conversions,BOOST → GREET,Conditional,Various values,Mass-energy calculations
Feedstock Data,Material,standardMoistureContent,Feedstock Properties,Moisture Content (%),Potential Input,Critical for energy content calculations,BOOST → GREET,Yes (for biomass),Various percentages,Adjusts energy content in GREET
Feedstock Data,Material,applicablePlantParts,Feedstock Specification,Biomass Component,Partial Match,What parts of plant are included (trunk vs branches),BOOST → GREET,Conditional,trunk,Biomass composition affects CI
Geographic Data,GeographicData,geoJsonData,Transport Distance,Geographic Coordinates,Calculation Input,Used to calculate transport distances,BOOST → GREET,Yes,Point coordinates,Calculate feedstock transport km
Geographic Data,GeographicData,dataType,Location Type,Harvest/Production Location Type,Metadata,"harvest_site, processing_location, etc.",BOOST → GREET,Yes,harvest_site,Identifies origin vs destination
Geographic Data,GeographicData,administrativeRegion,Regional Data,State/Region for Grid Mix,Potential Input,Electricity grid carbon intensity varies by region,BOOST → GREET,Conditional,California,Regional energy grid in GREET
Geographic Data,GeographicData,elevationM,Transport Analysis,Elevation,Potential Input,Can affect transport fuel consumption,BOOST → GREET,No,500,Transport energy modeling
Transaction Data,Transaction,LcfsPathwayId,Pathway Assignment,Pathway Reference,Direct Match,Links transaction to certified pathway,BOOST → LCFS Reporting,Yes,CA-RD-2025-LMR-001,Associates fuel volume with CI
Transaction Data,Transaction,fuelVolume,Volume Reporting,Fuel Volume for Transaction,Direct Input,Volume of fuel sold/produced,BOOST → LCFS Reporting,Yes,1650000.0,Volume for credit calculation
Transaction Data,Transaction,fuelVolumeUnit,Volume Units,Volume Unit,Metadata,gallons / liters / GGE,BOOST → LCFS Reporting,Yes,gallons,Standardize to MJ
Transaction Data,Transaction,fuelCategory,Fuel Classification,Fuel Type,Direct Match,Maps to CARB fuel categories,BOOST → LCFS Reporting,Yes,renewable_diesel,Fuel type for reporting
Transaction Data,Transaction,reportingPeriod,Reporting Period,Quarterly Period,Metadata,Which quarter this transaction counts toward,BOOST → LCFS Reporting,Yes,2025-Q1,Aggregate by quarter
Transaction Data,Transaction,regulatedPartyRole,Entity Role,Regulated Party Type,Metadata,"producer, importer, blender, etc.",BOOST → LCFS Reporting,Yes,producer,Determines reporting obligations
Transaction Data,Transaction,haulDistance,Transport Distance,Feedstock Transport Distance (miles),Potential GREET Input,Distance from harvest to facility,BOOST → GREET,Yes (for Tier 1/2),75,Transport emissions in GREET
Transaction Data,Transaction,fuelOriginCoordinates,Origin Location,Feedstock Origin Coordinates,Potential GREET Input,Geographic origin of biomass,BOOST → GREET,Yes (2026+ requirements),"lat: 40.5, lon: -122.3",Geographic tracking requirement
TraceableUnit Data,TraceableUnit,totalVolumeM3,Feedstock Volume,Biomass Volume,Potential Input,Volume of feedstock material,BOOST → GREET,Yes,75.60,Feedstock quantity input
TraceableUnit Data,TraceableUnit,materialTypeId,Feedstock Type,Material Type,Partial Match,References Material entity for properties,BOOST → GREET,Yes,WF (White Fir),Biomass species affects properties
TraceableUnit Data,TraceableUnit,harvestGeographicDataId,Harvest Location,Feedstock Origin,Calculation Input,Geographic origin for transport distance,BOOST → GREET,Yes,GEO-FOREST-001,Origin for transport modeling
TraceableUnit Data,TraceableUnit,currentGeographicDataId,Current Location,Destination/Facility Location,Calculation Input,Current location (e.g. mill),BOOST → GREET,Yes,GEO-MILL-001,Destination for transport modeling
TraceableUnit Data,TraceableUnit,harvesterId,Feedstock Producer,Harvesting Organization,Metadata,Who harvested the biomass,Chain of custody,Conditional,Headrick Logging,Supply chain tracking
TraceableUnit Data,TraceableUnit,operatorId,Transport Operator,Hauling Organization,Metadata,Who transported the material,Chain of custody,Conditional,Pacific Hauling,Transport chain tracking
TraceableUnit Data,TraceableUnit,createdTimestamp,Temporal Data,Harvest Date,Metadata,When feedstock was harvested,Chain of custody,Conditional,2025-08-15T00:00:00Z,Temporal tracking
TraceableUnit Data,TraceableUnit,productClassification,Feedstock Classification,Product Type,Metadata,"sawlog, chips, residue, etc.",Feedstock categorization,Conditional,sawlog,Material classification
TraceableUnit Data,TraceableUnit,qualityGrade,Material Quality,Quality Grade,Metadata,Quality classification,Material properties,No,Grade-A,Quality tracking
TraceableUnit Data,TraceableUnit,currentStatus,Status Tracking,Material Status,Metadata,delivered / in-transit / stored,Operational tracking,No,delivered,Status tracking
GREET Input Missing,N/A - Gap Identified,Fertilizer Inputs,Production Inputs,Fertilizer Application (kg/ha),Missing from BOOST,For dedicated energy crops only - not applicable to forest residue,N/A,Not applicable for waste biomass,N/A,GREET requires for agricultural feedstocks
GREET Input Missing,N/A - Gap Identified,On-Farm Energy Use,Production Inputs,Diesel/Equipment Fuel (L/ha),Missing from BOOST,For cultivated feedstocks - not typically tracked for forest residue,N/A,Not applicable for waste biomass,N/A,GREET requires for agricultural feedstocks
GREET Input Missing,N/A - Gap Identified,N2O Emissions,Production Inputs,Nitrous Oxide Emissions,Missing from BOOST,From soil/fertilizer - not applicable to forest residue collection,N/A,Not applicable for waste biomass,N/A,GREET calculates for agricultural systems
GREET Input Partial,EnergyCarbonData or Transaction,Transport Mode,Transport Inputs,Transportation Mode,Partial - could be enhanced,Truck / Rail / Barge transport type,Could be added to BOOST,Yes,truck,GREET models different transport modes
GREET Input Partial,EnergyCarbonData,Moisture Content at Measurement,Feedstock Properties,As-Received Moisture %,Partial Match,Moisture affects energy content and transport weight,BOOST tracks via EnergyCarbonData,Yes,35%,Critical for biomass energy calculations
GREET Input Partial,Material or EnergyCarbonData,Ash Content,Feedstock Properties,Ash Content %,Missing from BOOST,Affects combustion efficiency and emissions,Could be added,Conditional,2%,Biomass combustion modeling
GREET Output Stored,LCFSPathway,carbonIntensity,GREET Model Output,Final Pathway CI,GREET Output,This is the KEY OUTPUT from GREET that BOOST stores,GREET → BOOST,Yes,19.85,Certified CI for pathway
GREET Output Stored,LCFSPathway,energyEconomyRatio,GREET Model Output,EER from GREET,GREET Output,Energy economy ratio determined by GREET/CARB,GREET → BOOST,Yes,1.0,Multiplier for credit calculations
GREET Output Stored,LCFSPathway,processDescription,Pathway Description,Process Description,Metadata,Human-readable description of production process,Documentation,No,Hydrotreated renewable diesel production,Pathway documentation
Data Flow,BOOST → GREET,Feedstock tracking data,Input to GREET Modeling,Geographic origin + transport + volume + species,BOOST provides inputs,TraceableUnit + GeographicData + Material data feeds GREET Tier 1/2 applications,BOOST → GREET,Yes for Tier 1/2,Multiple BOOST entities,Populate GREET spreadsheet/calculator
Data Flow,GREET → BOOST,Certified CI results,Output from GREET Modeling,Carbon Intensity + EER + Pathway ID,GREET provides outputs,CARB certifies pathway using GREET; BOOST stores the results,GREET → BOOST,Yes,CA-GREET output,Create LCFSPathway entity
Data Flow,BOOST → AFP,Transaction reporting,AFP Submission,Quarterly transaction data,BOOST aggregates,LCFSReporting entity packages data for AFP submission,BOOST → AFP,Yes,LCFSReporting JSON,Submit to CARB AFP
Data Flow,AFP → BOOST,Pathway certifications,AFP Download,Certified pathway database,AFP provides,Download certified pathways to populate LCFSPathway entities,AFP → BOOST,Yes,CARB pathway database,Keep pathways current
Regulatory Requirement,Transaction + GeographicData,Geographic shapefiles/coordinates,2026+ LCFS Requirement,Plot Boundary Coordinates,New Requirement,Starting 2026: must provide geographic coordinates of harvest plots,BOOST → CARB,Yes (2026+),GeoJSON boundaries,Sustainability verification
Regulatory Requirement,Transaction or Certification,Third-party certification,2028+ LCFS Requirement,Feedstock Certification,New Requirement,Starting 2028: must have third-party certification from origin to gathering point,External certification → BOOST,Yes (2028+),Certification IDs,Biomass sustainability assurance
Key Insight,N/A,BOOST ≠ GREET Input,Conceptual Relationship,BOOST tracks supply chain; GREET models lifecycle,Different Purposes,BOOST provides SOME inputs to GREET Tier 1/2 applications but is primarily for tracking certified pathways,Complementary systems,N/A,N/A,BOOST stores GREET outputs + transaction data
Key Insight,N/A,LCFSPathway stores GREET outputs,Conceptual Relationship,LCFSPathway.carbonIntensity is GREET result,GREET Output Storage,LCFSPathway entity stores the RESULT of GREET modeling - not the inputs,GREET → BOOST,Critical understanding,19.85 gCO2e/MJ,This is what GREET calculated
Key Insight,N/A,TraceableUnit could feed GREET Tier 1/2,Conceptual Relationship,Feedstock data for pathway applications,Potential Integration,For NEW pathway applications: TraceableUnit + GeographicData could populate GREET Tier 1/2 calculator inputs,BOOST → GREET,Potential use case,3 months operational data,Tier 1 application requirement
Key Insight,N/A,Transaction links pathways to volumes,Conceptual Relationship,Associates fuel sales with certified CI,Credit Calculation,Transaction entity links LCFSPathway (certified CI) to actual fuel volumes for credit generation,BOOST internal,Essential for reporting,Volume × Pathway CI,Calculate quarterly credits
Missing GREET Data,N/A,Process energy inputs,Fuel Production Inputs,Natural gas / Electricity / H2 use at facility,Not in BOOST,GREET requires detailed facility energy consumption data,Facility operational data,Yes for Tier 1/2,kWh electricity per gallon fuel,Production emissions in GREET
Missing GREET Data,N/A,Co-product allocation,Production Modeling,Co-product credits (e.g. biochar),Not in BOOST,GREET accounts for co-products that offset emissions,Production facility data,Conditional,Biochar production,Emissions allocation
Missing GREET Data,N/A,Avoided emissions,Lifecycle Accounting,Counterfactual scenario (would biomass have been burned?),Not in BOOST,GREET may include avoided emissions from biomass diversion,GREET modeling assumption,Conditional,Slash pile burning avoided,Baseline scenario comparison
AFP Alignment,LCFSReporting,Complete reporting package,AFP Submission Format,All required AFP data fields,Full alignment,LCFSReporting appears designed to match AFP quarterly report structure,BOOST → AFP,Yes,Complete LCFSReporting entity,Direct AFP submission
AFP Alignment,Transaction,Transaction-level detail,AFP Transaction Reporting,Individual fuel transactions,Partial alignment,Transaction entity has LCFS-specific fields for AFP reporting,BOOST → AFP,Yes,Individual transactions,Transaction-level reporting
Validation Note,N/A,BOOST validates LCFS data structure,Data Quality,Schema compliance for LCFS entities,Validation,Current BOOST validator ensures LCFSPathway + LCFSReporting are structurally correct,BOOST internal,Yes,JSON schema validation,Pre-submission validation
Validation Note,N/A,GREET validates lifecycle calculations,Lifecycle Modeling,CI calculation accuracy,Different scope,GREET/CA-GREET validates the lifecycle carbon intensity calculations,GREET internal,Yes,CA-GREET model validation,Pathway certification
Next Steps,Recommended,Map specific GREET Tier 1 inputs to BOOST,Integration Planning,Identify exact field mappings for Tier 1 calculator,Action Item,Cross-reference actual CA-GREET Tier 1 calculator for woody biomass with BOOST schema,Analysis needed,N/A,N/A,Enable Tier 1 application from BOOST data
Next Steps,Recommended,Test pathway application workflow,Integration Testing,Can BOOST data populate GREET inputs?,Action Item,Use real TraceableUnit + Transaction data to fill out a Tier 1 application,Prototype needed,N/A,N/A,Validate data sufficiency
Next Steps,Recommended,Clarify stakeholder intent,Strategic Clarity,Is goal to auto-populate GREET or just store results?,Action Item,Email Dan Sanchez / Kelly per meeting notes to clarify project direction,Communication needed,N/A,N/A,Align on project scope
Next Steps,Recommended,Enhance for 2026/2028 requirements,Future Requirements,Geographic coordinates + certification tracking,Enhancement,Ensure BOOST can capture new LCFS biomass sustainability requirements,Schema updates may be needed,Yes,GeoJSON + certification IDs,Regulatory compliance